stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,platform_code
9021003191166000,Gråska kraftstation (Norrtälje),60.075506,18.520846,1,,
9021003191167000,Läroverket (Sigtuna),59.614143,17.703565,1,,
9021003191168000,Sjudarhöjden (Sigtuna),59.618312,17.687159,1,,
9021003191169000,Fältvägen (Märsta) (Sigtuna),59.627294,17.875198,1,,
9021003191170000,Tomta (Arlanda) (Sigtuna),59.632463,17.907006,1,,
9021003191171000,Rimbo station (Rimbo) (Norrtälje),59.743463,18.369682,1,,
9021003191172000,Rånäs vägskäl (Norrtälje),59.735263,18.252492,1,,
9021003191173000,Storstjäran (Norrtälje),59.735094,18.261054,1,,
9021003191174000,Järva krog (Solna),59.378182,18.012944,1,,
9021003191175000,Rimbo torg (Norrtälje),59.745208,18.370901,1,,
9021003191177000,Kistagången (Kista) (Stockholm),59.401683,17.954175,1,,
9021003191178000,Grönlandsgången (Kista) (Stockholm),59.403812,17.951439,1,,
9021003191179000,Veddesta centrum (Järfälla),59.404678,17.854491,1,,
9021003191180000,Jan Stenbecks torg (Kista) (Stockholm),59.403134,17.947857,1,,
9021003191181000,Veddesta Gård (Järfälla),59.405175,17.847441,1,,
9021003191182000,Viderögatan (Kista) (Stockholm),59.404918,17.956775,1,,
9021003191183000,Kista T-bana (Kista) (Stockholm),59.404601,17.940535,1,,
9021003191185000,Kista Alléväg (Kista) (Stockholm),59.407664,17.946540,1,,
9021003191186000,Torshamnsgatan (Kista) (Stockholm),59.407223,17.952571,1,,
9021003191189000,Norgegatan (Kista) (Stockholm),59.409299,17.937713,1,,
9021003191192000,Granhammarsvägen (Kungsängen) (Upplands-,59.478736,17.728757,1,,
9021003191201000,Albano (Stockholm),59.356828,18.056036,1,,
9021003191203000,Universitetet södra (Stockholm),59.361811,18.056084,1,,
9021003191207000,Universitetet norra (Stockholm),59.365080,18.053469,1,,
9021003191209000,Frescati (Stockholm),59.367493,18.052062,1,,
9021003191210000,Klockbacken (Sigtuna),59.615951,17.717525,1,,
9021003191211000,Lindskrog (Arlanda) (Sigtuna),59.649113,17.968681,1,,
9021003191212000,Altuna gård (Sigtuna),59.649472,17.983357,1,,
9021003191213000,Prästgårdsängarna (Sigtuna),59.621900,17.706679,1,,
9021003191214000,Skördegatan (Sigtuna),59.624801,17.704131,1,,
9021003191215000,Pilsbo (Sigtuna),59.624654,17.722859,1,,
9021003191216000,Hällsboskolan (Sigtuna),59.626974,17.702233,1,,
9021003191217000,Altuna (Sigtuna),59.649647,17.987946,1,,
9021003191218000,Ösby (Sigtuna),59.651565,17.999460,1,,
9021003191219000,Visbyvägen norra (Sigtuna),59.632176,17.716887,1,,
9021003191220000,Fridhem (Sigtuna),59.653032,18.008338,1,,
9021003191221000,Gnistan (Sigtuna),59.652601,18.020108,1,,
9021003191222000,Trosta (Sigtuna),59.652532,18.025231,1,,
9021003191223000,Venngarnsvägen (Sigtuna),59.649185,17.701748,1,,
9021003191224000,Venngarn (Stockholms län),59.650048,17.719021,1,,
9021003191225000,Terminal 4 (Arlanda) (Sigtuna),59.647736,17.928751,1,,
9021003191226000,Murarbo (Sigtuna),59.652861,17.698372,1,,
9021003191227000,Odenslund (Sigtuna),59.656919,18.042360,1,,
9021003191228000,Albano (Sigtuna),59.662926,18.047162,1,,
9021003191229000,Österby (Sigtuna),59.658637,17.690092,1,,
9021003191230000,Fridsberg (Sigtuna),59.664831,17.691380,1,,
9021003191231000,Haga kyrka (Sigtuna),59.672052,17.696259,1,,
9021003191233000,Skråmsta (Sigtuna),59.682541,17.701075,1,,
9021003191234000,Lunda kyrka (Sigtuna),59.666831,18.048221,1,,
9021003191237000,Herresta (Sigtuna),59.686064,18.042012,1,,
9021003191238000,Vasa (Sigtuna),59.693520,18.044978,1,,
9021003191239000,Ljusdal (Sigtuna),59.702291,18.043485,1,,
9021003191240000,Borresta (Sigtuna),59.710686,18.051422,1,,
9021003191242000,Alhamra (Norrtälje),59.735264,18.281699,1,,
9021003191243000,Kundby (Norrtälje),59.732751,18.423325,1,,
9021003191244000,Enby (Norrtälje),59.734205,18.414349,1,,
9021003191245000,Gottröra kyrka (Norrtälje),59.739332,18.159077,1,,
9021003191246000,Tullen (Norrtälje),59.738569,18.238432,1,,
9021003191247000,Hall (Norrtälje),59.737129,18.291354,1,,
9021003191248000,Ringhäll (Norrtälje),59.739901,18.154866,1,,
9021003191249000,Lilla Brosättra (Norrtälje),59.739246,18.301900,1,,
9021003191250000,Björkholmen (Norrtälje),59.734335,18.440187,1,,
9021003191252000,Johannesberg (Norrtälje),59.740124,18.190833,1,,
9021003191253000,Östra Libby (Norrtälje),59.732994,18.559401,1,,
9021003191254000,Salmunge (Norrtälje),59.735541,18.450351,1,,
9021003191255000,Västra Libby (Norrtälje),59.733434,18.543108,1,,
9021003191256000,Lilla Sanda (Sigtuna),59.720630,18.054897,1,,
9021003191257000,Trostavägen (Norrtälje),59.741916,18.142092,1,,
9021003191258000,Stora Brosättra (Norrtälje),59.740745,18.311370,1,,
9021003191259000,Kundbysjön (Norrtälje),59.735272,18.408082,1,,
9021003191260000,Rickeby (Norrtälje),59.742662,18.131914,1,,
9021003191261000,Simlons vägskäl (Norrtälje),59.733470,18.605299,1,,
9021003191262000,Granbacken (Norrtälje),59.741556,18.214685,1,,
9021003191263000,Håkansberg (Norrtälje),59.741851,18.205473,1,,
9021003191264000,Björkboda (Norrtälje),59.737085,18.465950,1,,
9021003191265000,Midsjö (Norrtälje),59.739618,18.332189,1,,
9021003191266000,Kvarntorpet (Norrtälje),59.739694,18.328725,1,,
9021003191267000,Sätuna (Norrtälje),59.736086,18.531762,1,,
9021003191268000,Brosättra (Norrtälje),59.740276,18.320870,1,,
9021003191269000,Skalhamra (Norrtälje),59.744402,18.120311,1,,
9021003191270000,Finsta västra (Norrtälje),59.737291,18.486744,1,,
9021003191271000,Västertorp (Rimbo) (Norrtälje),59.741080,18.345357,1,,
9021003191272000,Finsta station (Norrtälje),59.737238,18.496774,1,,
9021003191273000,Mälby (Norrtälje),59.745622,18.107638,1,,
9021003191275000,Nodsta västra (Norrtälje),59.736321,18.624004,1,,
9021003191276000,Hagen (Rimbo) (Norrtälje),59.742976,18.356390,1,,
9021003191277000,Vallbyberg (Norrtälje),59.740069,18.516803,1,,
9021003191278000,Liesta vägskäl (Norrtälje),59.742656,18.387484,1,,
9021003191279000,Nodsta by (Norrtälje),59.738132,18.635436,1,,
9021003191282000,Vallby kvarn (Rimbo) (Norrtälje),59.745298,18.377350,1,,
9021003191283000,Sundtorpet (Norrtälje),59.741468,18.657248,1,,
9021003191284000,Frötuna kyrka (Norrtälje),59.741995,18.672667,1,,
9021003191285000,Frötuna vägskäl (Norrtälje),59.739666,18.687947,1,,
9021003191286000,Campus Roslagen (Norrtälje),59.750072,18.689787,1,,
9021003191287000,Gustavslund (Norrtälje),59.754452,18.694419,1,,
9021003191288000,Dansbol (Norrtälje),60.032420,18.442679,1,,
9021003191290000,Forsbol (Norrtälje),60.037426,18.502568,1,,
9021003191291000,Västerbacken (Norrtälje),60.038877,18.493046,1,,
9021003191292000,Uppsalavägen (Hallstavik) (Norrtälje),60.042249,18.543160,1,,
9021003191293000,Sättra vägskäl (Hallstavik) (Norrtälje),60.041916,18.557460,1,,
9021003191294000,Rörvägen (Hallstavik) (Norrtälje),60.048896,18.578855,1,,
9021003191295000,Kustvägen (Hallstavik) (Norrtälje),60.049796,18.589023,1,,
9021003191296000,Midskog (Norrtälje),60.060370,18.526698,1,,
9021003191297000,Gråska södra (Norrtälje),60.079892,18.512363,1,,
9021003191298000,Gråska (Norrtälje),60.082792,18.502714,1,,
9021003191299000,Gråska norra (Norrtälje),60.089938,18.482963,1,,
9021003191300000,Brovägen (Arlanda) (Sigtuna),59.643547,17.931289,1,,
9021003191301000,Stockholm Cityterminalen (Kungsg.) (Stoc,59.333218,18.054562,1,,
9021003191302000,Rösa (Norrtälje),59.732020,18.583086,1,,
9021003191303000,Vasagatan (Stockholm),59.330532,18.059323,1,,
9021003191304000,Upplands Väsby station (Upplands Väsby),59.522237,17.900179,1,,
9021003191306000,Sigridsholmsvägen (Sigtuna),59.670990,18.046564,1,,
9021003191307000,Nymärstagatan (Märsta) (Sigtuna),59.619871,17.855033,1,,
9021003191329000,Hallstavik skola (Hallstavik) (Norrtälje,60.057490,18.599748,1,,
9021003191330000,Folkets hus (Hallstavik) (Norrtälje),60.050492,18.596894,1,,
9021003191331000,S:t Persskolan (Sigtuna),59.618055,17.711761,1,,
9021003191332000,Cargo City (Arlanda) (Sigtuna),59.636930,17.926792,1,,
9021003191333000,Kista gård (Kista) (Stockholm),59.408554,17.940396,1,,
9021003191334000,Kistavägen (Kista) (Stockholm),59.400997,17.954995,1,,
9021003191335000,Årstaberg station (Stockholm),59.299799,18.028706,1,,
9021003191336000,Älvsjö station (Stockholm),59.278627,18.011164,1,,
9021003191337000,Stuvsta station (Huddinge),59.253211,17.995916,1,,
9021003191338000,Huddinge station (Huddinge),59.237295,17.980086,1,,
9021003191339000,Flemingsberg station (Huddinge),59.217994,17.945632,1,,
9021003191340000,Tullinge station (Botkyrka),59.205281,17.903061,1,,
9021003191341000,Tumba station (Botkyrka),59.199744,17.835500,1,,
9021003191342000,Rönninge station (Salem),59.193563,17.749374,1,,
9021003191343000,Östertälje station (Södertälje),59.184373,17.659898,1,,
9021003191344000,Södertälje hamn (Södertälje),59.179339,17.646417,1,,
