from_stop_id,to_stop_id,transfer_type,min_transfer_time,from_trip_id,to_trip_id
9022003793051002,9022003793051001,1,,33010000189974908,33010000188405951
9022003793035002,9022003793035002,1,,33010000189974908,33010000191212915
9022003793051002,9022003793051001,1,,33010000189974908,33010000191212915
9022003793051002,9022003793051001,1,,33010000189975533,33010000188408624
9022003793035002,9022003793035001,1,,33010000189975533,33010000188408624
9022003793035002,9022003793035002,1,,33010000189975533,33010000191210828
9022003793051002,9022003793051001,1,,33010000189975533,33010000191210828
9022003793051002,9022003793051001,1,,33010000189975051,33010000188403963
9022003793035002,9022003793035002,1,,33010000189975051,33010000188410592
9022003793051002,9022003793051001,1,,33010000189975798,33010000188404329
9022003793035002,9022003793035002,1,,33010000189975798,33010000191211272
9022003793051002,9022003793051001,1,,33010000189975798,33010000191211272
9022003705003004,9022003705003001,1,,33010000177729550,33010000182472339
9022003705003004,9022003705003001,1,,33010000177729550,33010000190617071
9022003705003004,9022003705003002,1,,33010000177729550,33010000190691863
9022003705003004,9022003705003002,1,,33010000177729550,33010000191289194
9022003705003004,9022003705003002,1,,33010000177728742,33010000190692739
9022003705003004,9022003705003002,1,,33010000177728742,33010000191290070
9022003705003004,9022003705003001,1,,33010000177729146,33010000188779434
9022003705003004,9022003705003001,1,,33010000177729146,33010000190618376
9022003705003004,9022003705003002,1,,33010000177729146,33010000190692155
9022003705003004,9022003705003002,1,,33010000177729146,33010000191289486
9022003705003004,9022003705003001,1,,33010000177729348,33010000167501040
9022003705003004,9022003705003001,1,,33010000177729348,33010000190618521
9022003705003004,9022003705003002,1,,33010000177729348,33010000190692301
9022003705003004,9022003705003002,1,,33010000177729348,33010000191289632
9022003705003004,9022003705003002,1,,33010000177730358,33010000190687236
9022003705003004,9022003705003002,1,,33010000177730358,33010000190693615
9022003705003004,9022003705003002,1,,33010000177730358,33010000191284605
9022003705003004,9022003705003002,1,,33010000177730358,33010000191290946
9022003705003004,9022003705003002,1,,33010000182591787,33010000190692009
9022003705003004,9022003705003002,1,,33010000182591787,33010000191289340
9022003705003004,9022003705003002,1,,33010000177728944,33010000190692885
9022003705003004,9022003705003002,1,,33010000177728944,33010000191290216
9022003705003004,9022003705003001,1,,33010000177729752,33010000188779879
9022003705003004,9022003705003001,1,,33010000177729752,33010000190616636
9022003705003004,9022003705003002,1,,33010000177729752,33010000190693031
9022003705003004,9022003705003002,1,,33010000177729752,33010000191290362
9022003705003004,9022003705003001,1,,33010000177729954,33010000188780024
9022003705003004,9022003705003001,1,,33010000177729954,33010000190616781
9022003705003004,9022003705003002,1,,33010000177729954,33010000190688712
9022003705003004,9022003705003002,1,,33010000177729954,33010000190693323
9022003705003004,9022003705003002,1,,33010000177729954,33010000191286081
9022003705003004,9022003705003002,1,,33010000177729954,33010000191290654
9022003705003004,9022003705003002,1,,33010000177730156,33010000190688858
9022003705003004,9022003705003002,1,,33010000177730156,33010000190693469
9022003705003004,9022003705003002,1,,33010000177730156,33010000191286227
9022003705003004,9022003705003002,1,,33010000177730156,33010000191290800
9022003705003012,9022003705003010,1,,33010000189320463,33010000189951305
9022003705003012,9022003705003010,1,,33010000189320260,33010000189951159
9022003705003012,9022003705003010,1,,33010000189320666,33010000189949683
9022003705003003,9022003705003002,1,,33010000177711669,33010000190692593
9022003705003003,9022003705003002,1,,33010000177711669,33010000191289924
9022003705003003,9022003705003001,1,,33010000177713690,33010000188780315
9022003705003003,9022003705003001,1,,33010000177713690,33010000190615311
9022003705003003,9022003705003002,1,,33010000177713690,33010000190693177
9022003705003003,9022003705003002,1,,33010000177713690,33010000191290508
9022003705003003,9022003705003002,1,,33010000177714522,33010000190691571
9022003705003003,9022003705003002,1,,33010000177714522,33010000191288902
9022003705003003,9022003705003002,1,,33010000177715978,33010000190690841
9022003705003003,9022003705003002,1,,33010000177715978,33010000191288172
9022003705003003,9022003705003002,1,,33010000177716602,33010000190694199
9022003705003003,9022003705003002,1,,33010000177716602,33010000191291530
9022003705003003,9022003705003001,1,,33010000177712838,33010000182472339
9022003705003003,9022003705003001,1,,33010000177712838,33010000190617071
9022003705003003,9022003705003002,1,,33010000177712838,33010000190691863
9022003705003003,9022003705003002,1,,33010000177712838,33010000191289194
9022003705003003,9022003705003001,1,,33010000177713482,33010000188779879
9022003705003003,9022003705003001,1,,33010000177713482,33010000190616636
9022003705003003,9022003705003002,1,,33010000177713482,33010000190693031
9022003705003003,9022003705003002,1,,33010000177713482,33010000191290362
9022003705003003,9022003705003001,1,,33010000177714106,33010000188780460
9022003705003003,9022003705003001,1,,33010000177714106,33010000190615456
9022003705003003,9022003705003002,1,,33010000177715770,33010000190690695
9022003705003003,9022003705003002,1,,33010000177715770,33010000191288026
9022003705003003,9022003705003002,1,,33010000177716394,33010000190694053
9022003705003003,9022003705003002,1,,33010000177716394,33010000191291384
9022003705003003,9022003705003002,1,,33010000177716810,33010000190694345
9022003705003003,9022003705003002,1,,33010000177716810,33010000191291676
9022003705003003,9022003705003001,1,,33010000177717434,33010000188780024
9022003705003003,9022003705003001,1,,33010000177717434,33010000190616781
9022003705003003,9022003705003002,1,,33010000177717434,33010000190693323
9022003705003003,9022003705003002,1,,33010000177717434,33010000191290654
9022003705003003,9022003705003002,1,,33010000177713046,33010000190692009
9022003705003003,9022003705003002,1,,33010000177713046,33010000191289340
9022003705003003,9022003705003002,1,,33010000177714730,33010000190691279
9022003705003003,9022003705003002,1,,33010000177714730,33010000191288610
9022003705003003,9022003705003002,1,,33010000177715146,33010000190690987
9022003705003003,9022003705003002,1,,33010000177715146,33010000191288318
9022003705003003,9022003705003002,1,,33010000177715354,33010000190691133
9022003705003003,9022003705003002,1,,33010000177715354,33010000191288464
9022003705003003,9022003705003002,1,,33010000177717018,33010000190694491
